folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,real,predict
event_20250408_154827_a5c783c9,3,motion_detected/event_20250408_154827_a5c783c9/0000_sit_20250408_154827_frame.jpg,sit,2025-04-08 15:48:27,"Interno, tribunal, iluminação artificial, ambiente formal.","Cerca de sete pessoas visíveis. Quatro sentadas ao fundo (provável audiência), três na frente participando do procedimento: uma sentada (possivelmente ré ou testemunha), uma com papéis e livros (provável defensora ou procuradora), e uma terceira falando ao púlpito.","No fundo da sala, uma mulher (trajando verde) demonstra comportamento agitado: se move bruscamente e parece levantar os braços de maneira intensa nas três imagens. Isso pode indicar um possível episódio emocional ou descontrole momentâneo. Nenhuma evidência de invasão ou violência até o momento, apenas comportamento alterado.",Não identificado visivelmente.,"**Sim**, há risco moderado devido ao comportamento agitado da pessoa na plateia, o que pode representar instabilidade emocional e potencial interrupção dos procedimentos legais.",True,True
event_20250408_154827_20d6eb21,5,motion_detected/event_20250408_154827_20d6eb21/0000_hit_20250408_154827_frame.jpg,hit,2025-04-08 15:48:27,"Externo, noite, em um beco ou estreita via urbana com iluminação artificial (luz de farol e iluminação fixada nas paredes).","Pelo menos 6 indivíduos visíveis, um carro de cor escura com os faróis acesos, e duas motos paradas. Alguns indivíduos parecem estar abordando ou rendendo outros, enquanto o motorista permanece no carro.","Ação coordenada de grupo, gestos corporais indicam possível abordagem violenta ou assalto. Movimentos rápidos e gestuais suspeitos como rendição ou abordagem física. A presença de várias pessoas armando possível emboscada sugere uma tentativa de roubo.",Não visível.,"**Sim**, possível assalto em andamento envolvendo abordagem em grupo a um ou mais indivíduos, com veículo e motos envolvidos na operação.",True,True
event_20250403_110951_999c970a,21,motion_detected/event_20250403_110951_999c970a/0001_6994_20250307_101724_frame_20250403_110947_000137.jpg,6994,2025-03-07 10:17:24,"Externo, dia, área de estacionamento com delimitação para vaga PCD; sequência curta ao final mostra corredor interno com pouca iluminação.","• 1 indivíduo caminhando pela calçada, passando em frente ao estacionamento (frames 1 a 5).  
  • Vários veículos passam na rua (diversas direções), incluindo um possível táxi ou veículo de transporte por aplicativo (veículo branco com faixa verde) nos últimos frames externos.  
  • Interior (últimos 2 frames): corredores internos sem presença humana visível.",Nenhum comportamento suspeito identificado. O indivíduo não interage com o portão ou tenta acessar o local monitorado. Não há sinais de arrombamento visíveis nem movimentações incomuns no interior.,"Externo: Camera 11  
  Interno: Camera 08","**Não**  
  Justificativa: As imagens mostram tráfego normal de pedestres e veículos. Nenhuma ação suspeita, tentativa de entrada indevida ou comportamento de risco identificado.",False,False
event_20250408_154827_5dbc25b2,5,motion_detected/event_20250408_154827_5dbc25b2/0000_hit_20250408_154827_frame.jpg,hit,2025-04-08 15:48:27,"Externo, manhã (conforme horário do canto superior direito), rua residencial com estabelecimentos e calçada visível. Iluminação boa, luz solar clara.","Uma motocicleta com dois homens — um já embarcado (camisa azul) e outro se aproximando. Um terceiro homem (camiseta marrom) começa a atacá-los fisicamente. Pelo menos três pessoas observam a situação de perto, aparentando surpresa ou hesitação para intervir.","Agressão clara e contínua de um homem contra outro que está sentado na motocicleta, com tentativa de puxá-lo ou impedi-lo de sair. O agressor ergue o braço em movimento de ataque. A situação aparenta ser um possível roubo ou tentativa de impedir uma fuga. A presença de espectadores sem intervenção imediata pode indicar surpresa ou medo.",Não informado diretamente na imagem.,"**Sim**, evidência clara de agressão física em via pública, possível tentativa de assalto ou briga com risco de escalada. A ação ocorre em ambiente urbano, próximo a transeuntes e com potencial de propagação da violência.",True,True
event_20250408_154828_05caaa12,2,motion_detected/event_20250408_154828_05caaa12/0000_throw_20250408_154828_frame.jpg,throw,2025-04-08 15:48:28,"Externo, dia, rua urbana com iluminação natural.","Pelo menos 2 pessoas visíveis — uma em movimento em direção a uma viatura policial marcada (possivelmente policial ou suspeito), e outra próxima da viatura. Vários veículos estacionados (incluindo policial).","Movimento agressivo em direção à viatura policial; contexto textual menciona ""ataque chocante a um policial"" — sugere possível agressão ou confronto direto. Porta de carro aberta pode indicar ação rápida ou fuga.","ERIN LESLIE (provavelmente o nome de quem forneceu o vídeo, não o label da câmera).","**Sim**, ataque contra autoridade policial em via pública representa risco claro à segurança pública.",True,True
event_20250403_111752_4930dd6b,10,motion_detected/event_20250403_111752_4930dd6b/0001_6990_20250307_101724_frame_20250403_111751_000141.jpg,6990,2025-03-07 10:17:24,"Interno, noite, ambiente de recepção ou sala de espera, bem iluminado.","Duas pessoas visíveis; uma sentada em um sofá e outra de pé ao lado, aparentemente interagindo com a pessoa sentada ou com objetos próximos a ela. A posição e postura das duas permanecem quase fixas ao longo da sequência.","Nenhum comportamento agressivo, suspeito ou destrutivo é observado. A pessoa em pé pode estar auxiliando ou conversando com a pessoa sentada — não há sinais visíveis de conflito ou acesso não autorizado.",Camera 07.,"**Não**, não há indicativos de risco ou comportamento anormal. A interação parece normal e o ambiente está controlado.",False,False
event_20250402_140721_e4453231,12,motion_detected/event_20250402_140721_e4453231/0001_6883_20250219_153816_frame_20250402_140721_000021.jpg,6883,2025-02-19 15:38:16,"Externo, dia, calçada urbana com boa iluminação natural, árvore fornecendo sombra.","Dois indivíduos aparecem caminhando juntos nas primeiras imagens. Um deles (camiseta branca) se separa e para ao lado de um carro branco estacionado, observando e possivelmente testando a maçaneta da porta do veículo. O segundo indivíduo continua caminhando e se afasta.","O indivíduo de camiseta branca se aproxima do carro estacionado, observa o interior e parece tentar abrir a porta utilizando a maçaneta, sem sucesso. Após alguns segundos, ele se afasta. Não há sinais visíveis de arrombamento ou dano no veículo posteriormente, mas o comportamento é suspeito e indica possível tentativa de acesso não autorizado.",Camera 01.,"**Sim**, há indício claro de tentativa de violação do veículo estacionado por um indivíduo, comportamento suspeito e potencial tentativa de furto.",False,True
event_20250408_154830_a2a34495,5,motion_detected/event_20250408_154830_a2a34495/0000_sneak_20250408_154830_frame.jpg,sneak,2025-04-08 15:48:30,"Externo, à noite, área com materiais de construção ou quintal com entulhos e lona; iluminação fraca, com foco da câmera iluminando parcialmente.","1 pessoa visível na sequência. Ela aparece agachada e escondida inicialmente, deslocando-se discretamente até a região coberta com lona. Uma motocicleta está parada à direita, imóvel.","A pessoa apresenta comportamento furtivo, movimentando-se agachada, o que é incomum em áreas privadas durante a noite. Não há interação aparente com a moto ou outros objetos, mas a postura e movimentação indicam tentativa de ocultamento ou possível invasão.",CH4 (canto superior esquerdo da imagem).,"**Sim**, há sinais claros de comportamento suspeito e possível invasão, com movimentação furtiva em uma área aparentemente privada durante a noite.",True,True
event_20250408_154830_d10056f5,5,motion_detected/event_20250408_154830_d10056f5/0000_sneak_20250408_154830_frame.jpg,sneak,2025-04-08 15:48:30,"Externo, noite, iluminação artificial (proveniente da câmera ou outra fonte).","Três pessoas usando roupas escuras ou capuzes, agachadas ao lado de um compartimento metálico. Estão próximas a dois veículos (um tipo furgão e um automóvel ao lado).","As pessoas parecem estar tentando forçar ou abrir o compartimento metálico, o que indica possível tentativa de arrombamento ou acesso não autorizado. O comportamento é furtivo e coordenado.",Câmera CAM1.,"**Sim**, comportamento altamente suspeito de invasão ou tentativa de furto, com indícios de arrombamento.",True,True
event_20250403_113729_6e0a44fe,6,motion_detected/event_20250403_113729_6e0a44fe/0001_7645_20250307_134155_frame_20250403_113729_000004.jpg,7645,2025-03-07 13:41:55,"Externo, dia, área de entrada com portão metálico. Iluminação solar intensa.",Nenhum visível na sequência.,Nenhum comportamento suspeito ou sinal de arrombamento observado. Portão e porta ao fundo permanecem fechados. Apenas movimento de folhas na frente da câmera.,Portao entrada.,"**Não**, não há qualquer indício de risco ou atividade anormal.",False,False
event_20250408_154827_550cbaa0,2,motion_detected/event_20250408_154827_550cbaa0/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Interno, ambiente comercial (loja ou recepção), iluminação diurna adequada.","Dois indivíduos visíveis; um funcionário (ou pessoa atrás do balcão) e um segundo indivíduo usando capuz e máscara, demonstrando comportamento agressivo. O funcionário está deitado no chão no segundo frame, possivelmente coagido ou após uma ameaça.","Ação de assalto em andamento; o indivíduo mascarado aparentemente ameaça ou força a pessoa atrás do balcão a cooperar. Indícios de intimidação e coação, com possível roubo.","Não identificado (marca ""LiveLeak"" presente).","**Sim**, há um assalto claro em andamento com risco direto à integridade física de pessoas no local.",True,True
event_20250408_154828_2b362832,3,motion_detected/event_20250408_154828_2b362832/0000_fall_20250408_154828_frame.jpg,fall,2025-04-08 15:48:28,"Local interno, recepção ou entrada de edifício, durante a noite, com iluminação artificial.","Ao menos três indivíduos envolvidos. Uma pessoa entra rapidamente correndo no primeiro frame, sendo seguida por outra. No terceiro frame, um indivíduo está caído no chão enquanto outros dois aparecem na entrada, um deles com gesto de abordagem ou confronto.","A cena sugere uma situação de perseguição ou fuga com possível confronto físico. O indivíduo caído no chão pode indicar tentativa de fuga, queda forçada ou agressão. A postura das outras pessoas sugere comportamento potencialmente agressivo.",Não visível.,"**Sim**, composta por dinâmica de perseguição ou agressão com múltiplos indivíduos, incluindo um no chão, o que caracteriza possível situação de violência ou ameaça à segurança.",True,True
event_20250403_101251_f265bb7e,16,motion_detected/event_20250403_101251_f265bb7e/0001_17201_20250307_002851_frame_20250403_101250_000102.jpg,17201,2025-03-07 00:28:51,"Externo, noite, com iluminação artificial adequada. A câmera cobre uma área externa cercada, com uma via ao fundo.","Um veículo (faróis ligados) surge pela direita ao fundo na via e atravessa a cena lateralmente, saindo pela esquerda. Nenhuma pessoa visível durante a sequência.","Nenhum comportamento suspeito ou sinais visíveis de arrombamento, invasão ou movimentação próxima às áreas internas ou cercas.","Frente, L, E.","**Não**, o veículo apenas transita pela via, sem interação com o perímetro monitorado.",False,False
event_20250403_110712_5aa7d505,21,motion_detected/event_20250403_110712_5aa7d505/0001_6985_20250307_101724_frame_20250403_110706_000134.jpg,6985,2025-03-07 10:17:24,"Externo, dia claro, entrada de estacionamento pavimentado com faixa de pedestre e placa de vaga especial visíveis.","- Nos primeiros 4 segundos: um indivíduo caminha rapidamente ao longo da calçada, próximo à entrada do estacionamento.
  - No decorrer da sequência, diversos veículos passam pela rua (inclusive em sentidos opostos), incluindo carros particulares e uma motocicleta.
  - No final da sequência, outro indivíduo aparece caminhando na mesma direção da primeira pessoa, mas com aparência distinta (camisa clara).","- Um homem caminha com mochila nas costas, próximo ao estacionamento, mas não há indícios de comportamento suspeito ou tentativa de acesso.
  - Tráfego de veículos normal, sem sinais de imprudência ou colisões.
  - Nenhum comportamento agressivo ou tentativa de arrombamento visível.",Câmeras 02 e 11.,"**Não**, fluxo normal de pedestres e veículos, sem indícios de invasão, comportamento anormal ou risco aparente.",False,False
event_20250408_154828_7e69c268,3,motion_detected/event_20250408_154828_7e69c268/0000_throw_20250408_154828_frame.jpg,throw,2025-04-08 15:48:28,"Interno, ambiente de escritório com várias estações de trabalho e clientes sentados em espera. Iluminação adequada, aparenta ser durante o dia.","Aproximadamente 6 pessoas visíveis em diferentes posições. Inicialmente todos parecem em atividades normais (espera, atendimento). Uma mulher de blusa vermelha levanta-se abruptamente e pula o balcão em direção a uma atendente.","- Ação súbita e agressiva de uma mulher que invade fisicamente a área restrita dos atendentes ao pular o balcão.
  - A posição e reação das outras pessoas indicam surpresa e possível tentativa de fuga ou afastamento (sinal de comportamento anormal/suspeito).
  - Potencialmente uma tentativa de agressão ou assalto.",Camera 01.,"**Sim**, há invasão clara à área restrita com comportamento agressivo e potencial ameaça aos funcionários.",True,True
event_20250408_154829_ae55aced,5,motion_detected/event_20250408_154829_ae55aced/0000_struggle_20250408_154829_frame.jpg,struggle,2025-04-08 15:48:29,"Interno, ambiente fechado com iluminação natural (possivelmente de dia), aparenta ser uma cela ou quarto pequeno com cama simples.","Duas pessoas são visíveis. Uma delas está claramente dominando fisicamente a outra, que está deitada no chão ou contra a parede. O indivíduo em pé realiza uma ação repetitiva de agressão.","Agressão física evidente. Um indivíduo está segurando e empurrando repetidamente o outro com força, indicando violência direta. Esse comportamento representa risco imediato à integridade física da vítima.","Não visível claramente, mas existe uma marca d'água com ""WE WANT MORE FACTS"".","**Sim**, há ocorrência de violência física entre indivíduos, o que representa um risco claro e imediato à segurança e integridade de ao menos uma das pessoas envolvidas.",True,True
event_20250408_154826_22dc91e2,3,motion_detected/event_20250408_154826_22dc91e2/0000_kick_20250408_154826_frame.jpg,kick,2025-04-08 15:48:26,"Interno, academia, iluminação clara, horário das 19:37.",Dois indivíduos em uso da academia; um executa manobra de luta ou exercício físico que projeta o outro ao chão.,"A ação capturada mostra uma queda violenta — possivelmente causada por uma atividade intencional (tipo de luta ou brincadeira imprópria ao ambiente). O impacto é forte e pode trazer lesões graves, sinalizando um comportamento imprudente ou propositalmente agressivo no ambiente da academia.","Nenhuma visível além da marca d'água ""@BAHIJKADDOURA"".","**Sim**, queda intensa e potencialmente lesiva causada por ação de terceiro em ambiente não apropriado para este tipo de atividade (possível agressão ou atitude perigosa).",True,True
event_20250403_110809_e9b8e587,11,motion_detected/event_20250403_110809_e9b8e587/0001_6994_20250307_101724_frame_20250403_110809_000040.jpg,6994,2025-03-07 10:17:24,"Externo, dia, área de estacionamento pavimentada próxima a uma rua, com boa iluminação natural.","Trânsito regular de veículos. Um carro branco entra no campo de visão pela esquerda e para na frente do portão. Outro carro preto passa logo depois. Posteriormente, uma pessoa a pé (provavelmente vinda da direção contrária ao carro branco) se aproxima do portão e permanece por alguns segundos.","Nenhum comportamento suspeito, ação violenta ou tentativa de acesso indevido é observado. A pessoa parece caminhar normalmente pela calçada. Não há sinais visíveis de arrombamento ou portas/janelas abertas.",Camera 11.,"**Não**, fluxo comum de veículos e transeunte; nenhum comportamento suspeito identificado.",False,False
event_20250408_154826_0a85b8b5,4,motion_detected/event_20250408_154826_0a85b8b5/0000_grab_20250408_154826_frame.jpg,grab,2025-04-08 15:48:26,"Interno, início da noite ou ambiente fechado com iluminação artificial. Sala técnica ou área de manutenção (ferramentas, escada, materiais de construção).","Duas pessoas presentes. Uma delas (à direita, de capuz e botas) entrega um objeto a outra (à esquerda, de camisa cinza). A troca parece ser coordenada e consciente.","Nenhum comportamento violento, suspeito ou indicativo de risco evidente. Interação parece colaborativa. Nenhum sinal de arrombamento ou acesso forçado, a porta está aberta e acessível.",Camera 01.,"**Não**, não há sinais de risco ou ação suspeita evidente. Situação parece ser uma entrega ou transferência autorizada.",True,False
event_20250403_091404_c34755c2,22,motion_detected/event_20250403_091404_c34755c2/0001_55410_20250302_230353_frame_20250403_091404_000146.jpg,55410,2025-03-02 23:03:53,"Externo, noite, área residencial ou de edifício privativo; iluminação adequada por postes de luz e infravermelho da câmera.","Nenhuma pessoa visível nos frames. Dois veículos passam pela rua, ambos em movimento contínuo sem parar nem interação com o portão.","Nenhuma tentativa de invasão, comportamento suspeito, nem sinal de dano ou acesso forçado ao portão. Portões permanecem fechados durante toda a sequência.",Câmeras 05 e 03.,"**Não**, o movimento registrado é normal para horário noturno, sem ações suspeitas ou anômalas detectadas.",False,False
