folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao
event_20250403_092022_f63db61a,34,motion_detected/event_20250403_092022_f63db61a/0001_55406_20250302_230353_frame_20250403_092017_000043.jpg,55406,2025-03-02 23:03:53,"Externo, noite, rua urbana bem iluminada em frente a um edifício.","Duas pessoas caminham pela calçada da direita para a esquerda e atravessam a rua com comportamento normal. Três veículos estacionados (azul, prata e um preto). Um carro preto passa em movimento no último frame.",Nenhum comportamento suspeito ou indicativo de risco observado nas imagens. Trânsito e circulação de pedestres ocorrem normalmente.,Camera 01.,"**Não**, nenhuma ação suspeita ou risco aparente durante a sequência."
event_20250403_110825_c72ce50a,21,motion_detected/event_20250403_110825_c72ce50a/0001_6994_20250307_101724_frame_20250403_110825_000056.jpg,6994,2025-03-07 10:17:24,"Externo, manhã (07:19), área de estacionamento ao lado de uma rua, iluminação natural adequada.","Nenhuma pessoa visível. Três veículos passam pela rua, seguindo fluxo normal de tráfego.","Nenhum comportamento suspeito, violento ou incomum observado. Nenhum sinal de arrombamento ou tentativa de acesso indevido. Estacionamento vazio e sem atividade anormal.",Camera 11.,"**Não**, movimentação normal de veículos em via pública, sem indícios de risco."
event_20250403_115614_921a5ad2,8,motion_detected/event_20250403_115614_921a5ad2/0001_7639_20250307_134155_frame_20250403_115614_000028.jpg,7639,2025-03-07 13:41:55,"Externo, dia, rua residencial com boa iluminação solar.","- Um veículo caracterizado como viatura (possivelmente policial) aparece nos primeiros frames e se move pela rua, seguindo pela via até sair do campo de visão.
  - Há outros dois veículos estacionados na lateral oposta da rua, além de um carro branco parado do lado direito em frente ao prédio. 
  - Não há presença visível de pessoas a pé nas imagens.","- Nenhum comportamento suspeito ou risco aparente.
  - O veículo caracterizado apenas transita normalmente pela rua.
  - Nenhum sinal de arrombamento, acesso não autorizado ou movimentação incomum.",frente direita,"**Não**, não há indícios de risco, apenas trânsito normal da viatura."
event_20250403_110951_999c970a,21,motion_detected/event_20250403_110951_999c970a/0001_6994_20250307_101724_frame_20250403_110947_000137.jpg,6994,2025-03-07 10:17:24,"Externo, manhã (luz natural), estacionamento com área delimitada e sinalização para vaga de acessibilidade.","Um indivíduo caminha pela calçada do lado esquerdo da rua, seguindo em linha reta. Três veículos passam pela rua durante a sequência.","Nenhum comportamento ameaçador ou suspeito identificado. O indivíduo apenas transita pela calçada, sem se aproximar do condomínio ou do portão. Nenhuma ação não autorizada ou tentativa de acesso observada.",Camera 11.,"**Não**, trânsito comum de pedestre e veículos, sem sinais de ameaça ou comportamento incomum."
event_20250403_111752_4930dd6b,10,motion_detected/event_20250403_111752_4930dd6b/0001_6990_20250307_101724_frame_20250403_111751_000141.jpg,6990,2025-03-07 10:17:24,"Interno, noite, ambiente bem iluminado, possivelmente recepção de estabelecimento comercial ou clínica.","Duas pessoas visíveis. Uma está sentada no sofá usando o celular ou outro dispositivo. A outra pessoa está em pé atrás do balcão, interagindo com objetos sobre o balcão — parece procurar ou organizar algo, com movimentos constantes ao longo da sequência.",Nenhum comportamento suspeito evidente. As ações observadas parecem compatíveis com rotina normal de atendimento ou organização do ambiente.,Camera 87.,"**Não**, não há indícios de risco ou comportamento incomum nas imagens analisadas."
event_20250402_140721_e4453231,12,motion_detected/event_20250402_140721_e4453231/0001_6883_20250219_153816_frame_20250402_140721_000021.jpg,6883,2025-02-19 15:38:16,"Externo, dia, calçada urbana com boa iluminação natural.","Dois indivíduos caminhando juntos pela calçada nos primeiros frames. Um deles se afasta, e o outro (camiseta branca) permanece nas imediações do carro branco estacionado. Ele se aproxima da porta do carro com atenção dirigida ao veículo.","O indivíduo de camiseta branca para ao lado do carro estacionado e observa diretamente o interior ou a porta, aparentando possível interesse em interação com o veículo. Não há ação explícita de arrombamento registrada nos frames disponíveis, mas o comportamento é suspeito: aproximação lenta, observação direta da porta, e permanência ao lado do veículo.",Camera 01.,"**Sim**, há comportamento suspeito de possível tentativa de acesso indevido ao veículo branco estacionado. Monitoramento adicional recomendado."
event_20250403_113729_6e0a44fe,6,motion_detected/event_20250403_113729_6e0a44fe/0001_7645_20250307_134155_frame_20250403_113729_000004.jpg,7645,2025-03-07 13:41:55,"Externo, dia, local com boa iluminação natural. Pátio interno próximo ao portão de entrada.",Nenhum visível durante a sequência.,"Nenhum comportamento suspeito ou sinal de invasão visível. Portão fechado, nenhuma movimentação anormal. Galhos ao vento são a única alteração nos frames.",Portao entrada.,"**Não**, ambiente estável e sem presença ou atividade suspeita detectada."
event_20250403_101251_f265bb7e,16,motion_detected/event_20250403_101251_f265bb7e/0001_17201_20250307_002851_frame_20250403_101250_000102.jpg,17201,2025-03-07 00:28:51,"Externo, noite, área cercada com portão, iluminação moderada com luz próxima.","Um veículo se aproxima pela estrada no fundo, com faróis visíveis (chega próximo no último frame).","Nenhuma pessoa visível, nenhum comportamento suspeito aparente; o portão está fechado, sem sinais de arrombamento ou entrada não autorizada.","Frente,L,E.","**Não**, apenas aproximação de veículo em via externa sem ações suspeitas até o último frame."
event_20250403_110712_5aa7d505,21,motion_detected/event_20250403_110712_5aa7d505/0001_6985_20250307_101724_frame_20250403_110706_000134.jpg,6985,2025-03-07 10:17:24,"Externo, dia, área urbana com calçada e estacionamento; boa iluminação natural.","Um indivíduo caminhando pela calçada no sentido da entrada do estacionamento, aparentemente sem pressa; dois veículos passando lentamente na rua.","Nenhum comportamento suspeito aparente. A pessoa caminha normalmente, sem interagir com propriedades nem apresentar sinais de invasão ou conduta incomum. Os veículos seguem trajeto regular.",N/A,"**Não**, movimentação típica de pedestre e tráfego urbano regular, sem sinais de risco evidente."
event_20250403_110809_e9b8e587,11,motion_detected/event_20250403_110809_e9b8e587/0001_6994_20250307_101724_frame_20250403_110809_000040.jpg,6994,2025-03-07 10:17:24,"Externo, dia, estacionamento com boa iluminação natural.","Trânsito de veículos na rua ao fundo; três carros diferentes aparecem trafegando da esquerda para a direita, sem entrarem no estacionamento.","Nenhum comportamento incomum ou suspeito foi identificado; não há sinais de arrombamento, nem movimentação dentro do estacionamento.",Camera 11.,"**Não**, apenas tráfego normal de veículos, sem indícios de atividades de risco."
event_20250403_091404_c34755c2,22,motion_detected/event_20250403_091404_c34755c2/0001_55410_20250302_230353_frame_20250403_091404_000146.jpg,55410,2025-03-02 23:03:53,"Externo, noite, área frontal com portão e via pavimentada; boa iluminação por postes de luz.",Um veículo circula pela rua em frente ao portão entre os frames 0003 e 0005. Não há pessoas visíveis em nenhum dos frames.,Nenhum comportamento suspeito ou sinal de tentativa de acesso indevido foi identificado; o portão permanece fechado e sem danos aparentes.,Camera 05.,"**Não**, circulação normal de veículo, sem ações suspeitas ou ameaças visíveis."
event_20250403_110744_338b958b,15,motion_detected/event_20250403_110744_338b958b/0001_6994_20250307_101724_frame_20250403_110744_000016.jpg,6994,2025-03-07 10:17:24,"Externo, manhã (luz natural clara), área de estacionamento.","- Passagem de diversos veículos na rua (motos e carros) ao longo da sequência.
  - Uma pessoa visível próxima ao muro lateral direito, parcialmente encoberta pela vegetação, aparentemente parada e observando o entorno.","- Presença da pessoa parada próxima ao muro pode indicar observação do local, comportamento possivelmente suspeito dependendo do tempo em que permanece.
  - Nenhum sinal de arrombamento ou conflito visível.",Camera 11.,"**Não** — apesar de uma pessoa estar parada próxima ao muro, não há ação claramente suspeita, invasão ou tentativa de acesso indevido no período observado. Recomenda-se monitoramento caso a pessoa permaneça por mais tempo."
event_20250403_103057_3dd4eced,7,motion_detected/event_20250403_103057_3dd4eced/0001_17205_20250307_002852_frame_20250403_103057_000088.jpg,17205,2025-03-07 00:28:52,"Externo, período noturno, iluminação artificial visível (provavelmente de refletores). O local aparenta ser um pátio industrial ou ferro-velho com diversos materiais e sucatas espalhados.","Pelo menos dois indivíduos estão presentes, com movimentação à pé entre estruturas e materiais no canto superior central da imagem. Um veículo (parece uma van clara) está parado iluminando parte do local com os faróis acesos, próximo à cerca, sugerindo possível chegada ou apoio a uma ação.","A movimentação de indivíduos à noite em área de materiais pesados ou de valor, combinada com o uso de um veículo com faróis acesos voltados para o interior do pátio, indica potencial ação de furto ou acesso não autorizado. Não há vestígios claros de arrombamento visíveis nas imagens, mas o comportamento é suspeito dada a hora e o contexto.",L.D. Fundos.,"**Sim**, devido à presença de pessoas em área aparentemente isolada durante a noite, com movimentações suspeitas e apoio de veículo aceso, sugerindo possível atividade não autorizada ou preparativa para furto."
event_20250402_140812_81b82a7a,7,motion_detected/event_20250402_140812_81b82a7a/0001_6883_20250219_153816_frame_20250402_140808_000066.jpg,6883,2025-02-19 15:38:16,"Externo, rua urbana durante o dia, com boa iluminação natural.","Um carro prata passa pela rua nos primeiros segundos e sai de cena. Dois pedestres aparecem ao fundo e se aproximam gradualmente, caminhando pela calçada.","Nenhum comportamento suspeito, violento ou incomum é observado. Não há sinais de arrombamento ou invasão.",Camera 01.,"**Não**, a sequência mostra circulação normal de pedestres e veículo em rua urbana sem sinais de risco."
event_20250403_115819_956b2299,14,motion_detected/event_20250403_115819_956b2299/0001_7639_20250307_134155_frame_20250403_115805_000137.jpg,7639,2025-03-07 13:41:55,N/A,N/A,N/A,N/A,N/A
event_20250402_142524_574db192,16,motion_detected/event_20250402_142524_574db192/0001_6884_20250219_153816_frame_20250402_142514_000083.jpg,6884,2025-02-19 15:38:16,"Externo, dia, rua residencial com boa iluminação natural.",Um carro escuro visível se aproximando e manobrando lentamente na rua ao longo da sequência. Não há presença aparente de pedestres.,Nenhum comportamento suspeito ou irregular visível; o veículo está apenas em movimento ao longo da rua sem parar ou ações fora do comum.,Camera 02.,"**Não**, apenas tráfego veicular normal sem evidência de risco ou comportamento suspeito."
event_20250403_113354_c8cf51c7,14,motion_detected/event_20250403_113354_c8cf51c7/0001_7647_20250307_134155_frame_20250403_113347_000095.jpg,7647,2025-03-07 13:41:55,"Externo, dia, rua residencial ou pouco movimentada com iluminação solar clara.","Sequência mostra um carro com adesivos (possivelmente serviço de segurança ou escola) passando pela rua entre 10:44:16 e 10:44:18, depois segue para fora do campo de visão. Três carros estão estacionados (um na calçada esquerda — parcialmente danificado —, dois à direita).","Carro branco com frente visivelmente danificada estacionado na calçada pode indicar colisão anterior, mas nenhum comportamento suspeito ou violento observado durante a sequência.",frente esquerda.,"**Não**, não há sinais de risco imediato ou comportamento suspeito. Carro danificado presente, mas sem evidências de que o incidente esteja ocorrendo agora ou ofereça risco atual."
event_20250402_164111_69dfa316,7,motion_detected/event_20250402_164111_69dfa316/0001_18250_20250228_124222_frame_20250402_164111_000068.jpg,18250,2025-02-28 12:42:22,N/A,N/A,N/A,N/A,N/A
event_20250403_091224_4da7849c,71,motion_detected/event_20250403_091224_4da7849c/0001_55410_20250302_230353_frame_20250403_091221_000046.jpg,55410,2025-03-02 23:03:53,"Externo, noite, área em frente a um portão com iluminação pública e iluminação por infravermelho da câmera.","Um veículo claro aparece transitando inicialmente da direita para a esquerda (frames 1 e 2). Não há presença visível de pessoas a pé. No final da sequência (frames 3 a 5), outro veículo escuro passa no sentido oposto.","Nenhum comportamento suspeito identificado. Nenhuma tentativa de acesso indevido, o portão permanece fechado durante toda a sequência. Trânsito de veículos parece rotineiro.",Camera 05.,"**Não**, atividade veicular normal, sem indícios de ameaça ou comportamento suspeito."
event_20250402_150700_3c793a13,24,motion_detected/event_20250402_150700_3c793a13/0001_40427_20250221_185342_frame_20250402_150655_000004.jpg,40427,2025-02-21 18:53:42,"Externo, dia, área urbana residencial ou comercial, iluminação natural boa.","Duas pessoas em uma motocicleta abordam um pedestre que caminhava na calçada. A ação acontece rapidamente, e após a abordagem, o pedestre não é mais visto.","A sequência indica uma possível tentativa ou execução de roubo. O garupa da moto levanta o braço em direção ao pedestre em posição sugestiva de ameaça (podendo estar armado). O pedestre para imediatamente, possivelmente rendido.",Cam 06.,"**Sim**, há fortes indícios de assalto em andamento – aproximação tática com dois indivíduos em moto, gesto ameaçador, interrupção abrupta da movimentação do pedestre."
event_20250402_171319_5435f854,7,motion_detected/event_20250402_171319_5435f854/0001_4990_20250228_161321_frame_20250402_171318_000023.jpg,4990,2025-02-28 16:13:21,"Externo, dia, calçada arborizada com boa iluminação solar.","Um indivíduo visível nos primeiros frames, aparentemente se movimentando ou caído na calçada em frente a uma casa. Apesar da iluminação forte dificultar detalhes, parece estar deitado ou abaixado. Em seguida, ele se move para fora do campo de visão. Ao fundo, vê-se veículos estacionados, mas sem movimento.","A postura incomum do indivíduo deitado ou abaixado no chão pode indicar uma queda, mal-estar ou tentativa de se esconder. Não há ações visivelmente agressivas nem tentativa de acesso indevido na residência ou ao redor.",Camera 04.,"**Sim**, devido à postura suspeita no chão da calçada, o que pode indicar uma situação de saúde, acidente ou comportamento incomum que justifique atenção."
event_20250402_140451_25399fec,9,motion_detected/event_20250402_140451_25399fec/0001_6896_20250219_153816_frame_20250402_140451_000082.jpg,6896,2025-02-19 15:38:16,"Interno, garagem ou estacionamento coberto, durante o dia com boa iluminação natural.",Um veículo (carro prata) é visto inicialmente estacionado e em seguida saindo pelo portão; nenhuma pessoa visível.,Nenhum comportamento incomum ou suspeito evidente. A saída do veículo parece normal e controlada.,Camera 14.,"**Não**, movimentação usual de veículo saindo da garagem, sem sinais de arrombamento, invasão ou comportamento irregular."
event_20250402_150632_eb875975,6,motion_detected/event_20250402_150632_eb875975/0001_40426_20250221_185342_frame_20250402_150632_000001.jpg,40426,2025-02-21 18:53:42,N/A,N/A,N/A,N/A,N/A
event_20250403_102825_0ffbeda4,6,motion_detected/event_20250403_102825_0ffbeda4/0001_17204_20250307_002852_frame_20250403_102824_000093.jpg,17204,2025-03-07 00:28:52,"Externo, noite, iluminação artificial nas proximidades (possivelmente um holofote iluminando o local).","Nenhum identificado claramente nas imagens. Possível figura humana pouco visível próxima ao portão ao fundo, porém sem movimentação evidente entre os quadros.",Nenhum comportamento suspeito ou sinal de invasão/arrombamento observado nesses quadros. O portão aparenta estar trancado e não há indícios de portões ou cercas violados.,FRENTE L.D,"**Não**, não há evidência de atividade suspeita ou risco iminente nas imagens fornecidas."
event_20250403_110435_2ec98035,18,motion_detected/event_20250403_110435_2ec98035/0001_6984_20250307_101724_frame_20250403_110430_000136.jpg,6984,2025-03-07 10:17:24,"Externo, dia, entrada de estacionamento ou área comercial, boas condições de iluminação.","- Uma pessoa aparece caminhando na calçada no primeiro frame, com mochila, e sai do campo de visão logo depois.
  - Há um indivíduo sentado sob um guarda-sol durante toda a sequência, possivelmente vigilante ou segurança.
  - Passam pela via diversos veículos: dois carros, uma motocicleta e um SUV.","Nenhum comportamento suspeito ou incomum observado; os veículos trafegam normalmente na rua, e os pedestres estão em conduta usual.",Camera 01.,"**Não**, nenhuma atividade suspeita ou situação de risco aparente."
event_20250403_110546_a69dc7b4,20,motion_detected/event_20250403_110546_a69dc7b4/0001_6985_20250307_101724_frame_20250403_110546_000055.jpg,6985,2025-03-07 10:17:24,"Externo, dia, área pavimentada em frente a um muro (possivelmente entrada de prédio comercial ou residencial), iluminação natural boa.","Vários veículos em movimento — um carro preto inicialmente para na curva (frame 1), depois uma van branca passa (frame 2), seguida por um carro cinza escuro, e então um carro prata entra na cena (frame 4). No final, o carro preto já se afastou.","Nenhum comportamento suspeito ou incomum perceptível. O trânsito parece normal, sem tentativas de acesso indevido ou ações estranhas.",Camera 02.,"**Não**, trânsito rotineiro, sem indícios de ameaça ou atividade irregular."
event_20250402_152207_a112c0ac,9,motion_detected/event_20250402_152207_a112c0ac/0001_10774_20250228_101013_frame_20250402_152207_000018.jpg,10774,2025-02-28 10:10:13,"Local interno, garagem coberta, dia com iluminação natural adequada.","Um indivíduo aparece nos primeiros frames. Ele está descalço, veste bermuda e camiseta, aproxima-se de uma porta, interage com o sistema de acesso e entra. Dois veículos estão estacionados de forma regular e permanecem estáticos ao longo da sequência.",Nenhum comportamento suspeito evidente; o indivíduo parece utilizar método autorizado para acesso (uso do interfone ou leitor de acesso). Nenhum sinal de arrombamento ou ação forçada visível.,Camera 05.,"**Não**, entrada aparentemente autorizada e ambiente estável."
event_20250403_113241_df74149a,10,motion_detected/event_20250403_113241_df74149a/0001_7647_20250307_134155_frame_20250403_113241_000030.jpg,7647,2025-03-07 13:41:55,"Externo, dia, rua residencial ou comercial com boa iluminação natural.",Vários veículos estacionados e em movimento. Um carro amarelo (possivelmente táxi ou similar) se desloca pela via da direita para a esquerda ao longo da sequência.,Nenhum comportamento suspeito ou incomum detectado. Trânsito parece fluindo normalmente; veículos estão estacionados de maneira adequada; não há sinais de arrombamento ou acesso indevido.,frente esquerda.,"**Não**, não há indícios de atividade suspeita ou de risco nas imagens analisadas."
event_20250402_153119_5e731392,9,motion_detected/event_20250402_153119_5e731392/0001_10785_20250228_101013_frame_20250402_153119_000089.jpg,10785,2025-02-28 10:10:13,"Externo, início da manhã (07h13), com iluminação natural crescente. Ambiente cercado, possivelmente perímetro de segurança ou instituição.","1 pessoa visível à distância nos primeiros três frames, aproximando-se da câmera.","Movimento não autorizado em área restrita aparente; a câmera sofre interferência crescente e perde sinal após breve mudança de cor no terceiro frame, o que pode indicar possível manipulação ou vandalismo.",Camera 16.,"**Sim**, presença suspeita com possível sabotagem da câmera — risco de acesso não autorizado ou atividade danosa."
event_20250402_153028_6d75d183,7,motion_detected/event_20250402_153028_6d75d183/0001_10785_20250228_101013_frame_20250402_153028_000040.jpg,10785,2025-02-28 10:10:13,"Externo, manhã (07:11), boa iluminação natural. Imagem mostra corredor lateral entre muros, com saída para área aberta com palmeiras, provavelmente próxima ao litoral.",Nenhum.,"Nenhum comportamento suspeito, violação ou atividade incomum observável ao longo da sequência.",Camera 16.,"**Não**, área aparentemente segura, sem movimento ou sinais de risco."
event_20250403_091207_eb29739f,9,motion_detected/event_20250403_091207_eb29739f/0001_55410_20250302_230353_frame_20250403_091207_000032.jpg,55410,2025-03-02 23:03:53,"Externo, noite, área em frente a um portão fechado com boa iluminação.",Dois veículos visíveis na rua (aparentemente em movimento); não há pessoas visíveis nos frames.,Nenhum comportamento suspeito ou signe de acesso indevido ao longo da sequência. Portão permanece fechado e sem sinais de arrombamento.,Camera 06.,"**Não**, não há indícios de risco ou atividade suspeita nas imagens analisadas."
event_20250403_091347_31d8b0de,9,motion_detected/event_20250403_091347_31d8b0de/0001_55410_20250302_230353_frame_20250403_091347_000129.jpg,55410,2025-03-02 23:03:53,"Externo, noite, área de entrada com portão fechado, iluminação adequada por luzes artificiais.","Um carro branco aparece nos cinco frames, estacionado ou parado diante do portão; há movimento na via paralela e uma pessoa em bicicleta passa rapidamente no frame 0004.","Nenhuma tentativa de acesso ao portão observada, o veículo permanece fora da propriedade. O ciclista apenas atravessa o campo de visão, sem interação.",N/A,"**Não**, apenas tráfego normal de veículos e pedestres; ausência de ações suspeitas."
event_20250402_171342_cc7e5892,6,motion_detected/event_20250402_171342_cc7e5892/0001_4990_20250228_161321_frame_20250402_171342_000046.jpg,4990,2025-02-28 16:13:21,N/A,N/A,N/A,N/A,N/A
event_20250403_091742_afe052f2,35,motion_detected/event_20250403_091742_afe052f2/0001_55407_20250302_230353_frame_20250403_091735_000041.jpg,55407,2025-03-02 23:03:53,"Externo, à noite, área residencial/comercial iluminada com calçada e portão de entrada.","Duas pessoas caminham pela calçada da direita para a esquerda ao longo da sequência. Um veículo prata passa rapidamente no primeiro frame, e outro veículo azul permanece estacionado na rua durante todos os frames.","Nenhum comportamento suspeito ou incomum identificado. Pessoas apenas transitando pela calçada. Portão fechado, sem sinais de tentativa de entrada.",Camera 02.,"**Não**, movimentação normal e comportamentos compatíveis com trânsito de pedestres."
event_20250402_154309_d17a8c21,6,motion_detected/event_20250402_154309_d17a8c21/0001_10771_20250228_101013_frame_20250402_154309_000007.jpg,10771,2025-02-28 10:10:13,"Externo, manhã (iluminação natural), corredor lateral de residência ou edifício com piso cerâmico claro e parede alta à direita.","Um indivíduo visível nos fundos do corredor (canto superior direito), aparentemente parado ao lado do muro durante toda a sequência.","Indivíduo em posição suspeita junto ao muro, sem movimentação aparente; possibilidade de tentativa de escalada ou observação indevida sobre a propriedade.",Camera 02.,"**Sim**, presença estática de pessoa em área lateral restrita pode indicar tentativa de invasão ou comportamento suspeito."
event_20250402_170432_a89dcd4a,6,motion_detected/event_20250402_170432_a89dcd4a/0001_4992_20250228_161321_frame_20250402_170432_000006.jpg,4992,2025-02-28 16:13:21,"Externo, dia, vegetação densa com iluminação natural intensa. Local com muro ou cerca e presença de portão.","Uma pessoa parcialmente visível (à esquerda nos frames 2 e 5), aparentemente parada ou se movendo discretamente junto à cerca.","A pessoa aparece de forma parcial, escondida em meio à vegetação, o que pode indicar tentativa de ocultação. Pode estar observando ou tentando acessar a área sem ser notada. Nenhum sinal visível de arrombamento ou dano.",Câmera 06.,"**Sim**, presença suspeita de indivíduo parcialmente escondido junto à cerca, em área com vegetação densa, podendo indicar tentativa de acesso indevido furtivo."
